nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix_buf500k.yaml, seed=0, device=cuda
step   44000 | wellbeing 0.312 | wm_loss 1.8490 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 38 | eps 1.00
step   44500 | wellbeing 0.218 | wm_loss 1.8128 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 1 | morts 39 | eps 1.00
step   45000 | wellbeing 0.000 | wm_loss 1.8144 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 39 | eps 1.00
step   45500 | wellbeing 0.153 | wm_loss 1.8020 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 40 | eps 1.00
step   46000 | wellbeing 0.002 | wm_loss 1.7947 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 40 | eps 1.00
step   46500 | wellbeing 0.238 | wm_loss 1.8365 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 42 | eps 1.00
step   47000 | wellbeing 0.497 | wm_loss 1.8780 | td 0.0000 | planner 0.00 | seuil None | eau 4 | bouffe 2 | morts 43 | eps 1.00
step   47500 | wellbeing 0.098 | wm_loss 1.8572 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 44 | eps 1.00
step   48000 | wellbeing 0.232 | wm_loss 1.8331 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 45 | eps 1.00
step   48500 | wellbeing 0.257 | wm_loss 1.8704 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 4 | morts 45 | eps 1.00
step   49000 | wellbeing 0.153 | wm_loss 1.8623 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 46 | eps 1.00
step   49500 | wellbeing 0.016 | wm_loss 1.8246 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 46 | eps 1.00
step   50000 | wellbeing 0.156 | wm_loss 1.8339 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 47 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   50500 | wellbeing 0.357 | wm_loss 1.7845 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 4 | morts 47 | eps 1.00
step   51000 | wellbeing 0.083 | wm_loss 1.8238 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 47 | eps 1.00
step   51500 | wellbeing 0.084 | wm_loss 1.8562 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 48 | eps 1.00
step   52000 | wellbeing 0.403 | wm_loss 1.8278 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 49 | eps 1.00
step   52500 | wellbeing 0.214 | wm_loss 1.8190 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 50 | eps 1.00
