nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix.yaml, seed=0, device=cuda
step   53500 | wellbeing 0.123 | wm_loss 1.9993 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 48 | eps 1.00
step   54000 | wellbeing 0.018 | wm_loss 1.9150 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 48 | eps 1.00
step   54500 | wellbeing 0.000 | wm_loss 1.8639 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 0 | morts 48 | eps 1.00
step   55000 | wellbeing 0.000 | wm_loss 1.8656 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 48 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   55500 | wellbeing 0.000 | wm_loss 1.9040 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 48 | eps 1.00
step   56000 | wellbeing 0.000 | wm_loss 1.8497 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 48 | eps 1.00
step   56500 | wellbeing 0.000 | wm_loss 1.8430 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 48 | eps 1.00
step   57000 | wellbeing 0.000 | wm_loss 1.8532 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 48 | eps 1.00
step   57500 | wellbeing 0.000 | wm_loss 1.8883 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 48 | eps 1.00
step   58000 | wellbeing 0.000 | wm_loss 1.8156 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 48 | eps 1.00
step   58500 | wellbeing 0.000 | wm_loss 1.9455 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 48 | eps 1.00
step   59000 | wellbeing 0.000 | wm_loss 1.8863 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 48 | eps 1.00
step   59500 | wellbeing 0.000 | wm_loss 1.8951 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 48 | eps 1.00
step   60000 | wellbeing 0.000 | wm_loss 1.9377 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 48 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   60500 | wellbeing 0.000 | wm_loss 1.9338 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 48 | eps 1.00
step   61000 | wellbeing 0.000 | wm_loss 1.9323 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 48 | eps 1.00
step   61500 | wellbeing 0.000 | wm_loss 1.9139 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 48 | eps 1.00
step   62000 | wellbeing 0.000 | wm_loss 1.9645 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 48 | eps 1.00
step   62500 | wellbeing 0.000 | wm_loss 2.0133 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 48 | eps 1.00
step   63000 | wellbeing 0.000 | wm_loss 1.9716 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 48 | eps 1.00
step   63500 | wellbeing 0.000 | wm_loss 1.9503 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 48 | eps 1.00
step   64000 | wellbeing 0.000 | wm_loss 1.9708 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 48 | eps 1.00
step   64500 | wellbeing 0.448 | wm_loss 1.9455 | td 0.0000 | planner 0.00 | seuil None | eau 4 | bouffe 2 | morts 49 | eps 1.00
step   65000 | wellbeing 0.057 | wm_loss 1.9412 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 49 | eps 1.00
